,상호,주소,가격,셀프,상표,구
141,위례제일주유소,서울 송파구 위례서로 260,1877.0,Y,S-OIL,송파구
142,남성대주유소,서울 송파구 송파대로 52 (장지동),1877.0,Y,SK에너지,송파구
143,상아주유소,서울 송파구 거마로 82,1877.0,Y,S-OIL,송파구
144,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),1879.0,N,현대오일뱅크,송파구
145,(주)삼표에너지 아시아주유소,서울 송파구 도곡로 438 (잠실동),1880.0,Y,GS칼텍스,송파구
146,삼화주유소,서울 송파구 백제고분로 125,1880.0,Y,GS칼텍스,송파구
147,완불주유소,서울 송파구 송파대로 3 (장지동),1887.0,Y,SK에너지,송파구
148,대성주유소,서울 송파구 마천로 230 (마천동),1888.0,N,SK에너지,송파구
149,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),1889.0,Y,SK에너지,송파구
150,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),1890.0,Y,GS칼텍스,송파구
151,삼전셀프주유소,서울 송파구 백제고분로 199,1890.0,Y,SK에너지,송파구
152,현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),1893.0,Y,현대오일뱅크,송파구
153,(주)유진주유소,서울 송파구 동남로 325 (오금동),1899.0,N,SK에너지,송파구
154,(주)정직한주유소,서울 송파구 오금로 455 (거여동),1908.0,Y,현대오일뱅크,송파구
155,방이주유소,서울 송파구 위례성대로12길 38 (방이동),1917.0,N,SK에너지,송파구
156,백제고분로주유소,서울 송파구 오금로 143 (방이동),1917.0,Y,SK에너지,송파구
157,제트라인DM주유소,서울 송파구 중대로 183 (가락동),1918.0,N,현대오일뱅크,송파구
158,현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),1918.0,Y,현대오일뱅크,송파구
159,현대오일뱅크㈜직영 서원주유소,서울 송파구 중대로 154 (가락동),1918.0,N,현대오일뱅크,송파구
160,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1919.0,Y,S-OIL,송파구
161,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,1925.0,N,GS칼텍스,송파구
162,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),1928.0,N,GS칼텍스,송파구
163,송파주유소,서울 송파구 송이로 28 (송파동),1949.0,Y,GS칼텍스,송파구
164,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,1958.0,N,GS칼텍스,송파구
165,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,1968.0,N,S-OIL,송파구
166,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),2168.0,N,SK에너지,송파구
167,가로공원주유소,서울 양천구 가로공원로 165 (신월동),1777.0,N,SK에너지,양천구
168,현대주유소,서울 양천구 남부순환로 372 (신월동),1777.0,Y,S-OIL,양천구
169,양천구주유소,서울 양천구 국회대로 275 (목동),1777.0,Y,알뜰주유소,양천구
170,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),1789.0,Y,SK에너지,양천구
171,형산석유(주)원주유소,서울 양천구 남부순환로 408,1799.0,N,현대오일뱅크,양천구
172,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),1834.0,Y,SK에너지,양천구
173,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),1834.0,Y,SK에너지,양천구
174,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),1839.0,Y,SK에너지,양천구
175,지에스칼텍스㈜ 서호주유소,서울 양천구 남부순환로 317,1842.0,Y,GS칼텍스,양천구
176,현대오일뱅크(주)직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),1842.0,Y,현대오일뱅크,양천구
